jp_id,name,type,country,category,language,url,contact,relevance,why_relevant,suggested_ask,dwih_angle,status,notes
jp-jds,Japan Diabetes Society (JDS),organization,JP,professional,ja/en,https://www.jds.or.jp/modules/en/index.php?content_id=8,,A,"National diabetes research society, IDF member. Runs the EFSD-JDS Reciprocal Travel Research Fellowship with the European Foundation for the Study of Diabetes - a bilateral exchange programme for diabetes researchers between Europe and Japan","Route through the EFSD-JDS fellowship framework: a German researcher presenting a human-baseline study is the profile the programme was built for. Ask about the annual scientific meeting as a presentation venue","Direct fit: the DWIH Launchpad lands in Tokyo during JDS's active season; the EFSD reciprocal link gives the Rostock affiliation institutional weight",uncontacted,"JDS annual meeting is the largest diabetes venue in Japan. The EFSD fellowship is the single strongest institutional bridge found: European diabetes research explicitly paired with Japanese counterparts"
jp-jadec,Japan Association for Diabetes Education and Care (JADEC),organization,JP,advocacy,ja,https://www.nittokyo.or.jp/,,A,"Patient-facing national body with 1600 local groups and 15000 members. Publishes monthly magazine Sakae (さかえ), the main Japanese diabetes patient publication","Pitch an article in Sakae: a citizen-science study where anyone can play and compare their glucose prediction to a model. The magazine accepts patient experience contributions","A German-Japanese research collaboration featured in a national patient magazine reaches the recruitment target through existing community infrastructure",uncontacted,"Sakae is the single best Japanese-language patient media found. JADEC also holds an annual scientific meeting and participates in IDF and AASD joint conferences"
jp-iddm-network,Japan IDDM Network (日本IDDMネットワーク),organization,JP,advocacy,ja,https://japan-iddm.net/,info@japan-iddm.net,A,"Certified NPO for type 1 diabetes patients and families. Maintains a nationwide directory of local patient groups, funds research toward a cure","Ask for a newsletter or website mention of the study, and introduction to their local group leaders who can share with adult members","Type 1 community with national reach; the study recruits both T1D and non-diabetic adults",uncontacted,"Based in Saga Prefecture. Phone: 0952-20-2062 (weekdays 9-17). The network of local groups is the ground-level recruitment channel"
jp-ncgm,National Center for Global Health and Medicine (NCGM),organization,JP,research,ja/en,https://www.ncgm.go.jp/en/,dghp@it.ncgm.go.jp,A,"One of six National Centers for Advanced and Specialized Medical Care. Runs diabetes and metabolic disease research. Hosts the Diabetes and Metabolism Information Center and the J-DREAMS database (Japan Diabetes compREhensive database project)","Research collaboration: ask about the J-DREAMS database as a source of anonymised CGM traces, and about hosting a seminar on the human prediction baseline","NCGM is in Tokyo and reachable through the DWIH network. The J-DREAMS project is the largest structured diabetes database in Japan",uncontacted,"Located in Shinjuku, Tokyo. The Bureau of International Health Cooperation handles overseas researcher contact. Tel: +81-3-3202-7181"
jp-nagoya-u,Nagoya University - Niitsu Lab (新津葵一研究室),organization,JP,research,ja,https://www.nagoya-u.ac.jp/about-nu/public-relations/researchinfo/upload_images/20190405_engg.pdf,,A,"Associate Professor Kiichi Niitsu's group in the Graduate School of Engineering developed an AI system that predicts blood glucose 30 minutes ahead using only CGM data and a specialised neural network, with live learning during operation","Research contact: their 30-minute prediction system is the closest published Japanese work to Sugar-Sugar's prediction task. Propose a comparison or joint analysis - human prediction vs their model at overlapping horizons","Direct overlap: both projects predict future glucose from CGM traces. A joint paper comparing human and model performance on the same data would serve both groups",uncontacted,"The system was published in 2019. Confirm current lab status and whether the group is still active on glucose prediction before contact. The lab is in the Faculty of Engineering, not the medical school"
jp-chiba-u,Chiba University Hospital - ICU Glucose Prediction Group,organization,JP,research,ja/en,https://pubmed.ncbi.nlm.nih.gov/41413111/,,B,"Developed machine learning models (XGBoost, random forest, neural networks) to predict hypoglycemia and hyperglycemia 6 hours ahead using electronic health records of 8853 ICU patients (2010-2022). Published in Scientific Reports, December 2025","Research contact: their ICU glucose prediction is methodologically adjacent. Propose a cross-domain comparison or cite their work in the Sugar-Sugar protocol paper","Demonstrates Japanese institutional expertise in ML-based glucose prediction, strengthening the case for Japanese collaboration",uncontacted,"The study is retrospective using EHR data, not CGM traces from ambulatory patients, so the prediction task is related but different. Worth a conversation, not a direct partnership"
jp-uec-juntendo,University of Electro-Communications / Juntendo University,organization,JP,research,ja/en,https://pubmed.ncbi.nlm.nih.gov/30478026/,,B,"Joint pilot study on predicting glucose metabolism disorder risk using XGBoost and SVM, with data from oral glucose tolerance tests (2006-2017). Faculty of Informatics and Engineering (UEC) + Department of General Medicine (Juntendo)","Research contact: their ML approach to glucose risk prediction from clinical data complements Sugar-Sugar's CGM-trace approach. Offer a seminar or poster presentation at either institution","Two Tokyo universities with established glucose prediction ML expertise - a natural audience for the human-baseline argument",uncontacted,"The pilot was published in 2018. Confirm current research direction before contact"
jp-kyoto-u-diabetes,Kyoto University - Dept. of Diabetes Endocrinology and Nutrition,organization,JP,research,ja/en,https://www.med.kyoto-u.ac.jp/en/research/field/doctoral_course/r-036,,B,"Led by Professor Daisuke Yabe. Research covers islet biology, incretin secretion, genetic investigation of diabetes, obesity treatment, and clinical research. The department also works on personalised AI health plans with hierarchical Bayesian modelling","Seminar or guest lecture during the DWIH Kansai leg: the Launchpad visits the Kansai region, and Kyoto University is the anchor research institution there","Kansai leg of the DWIH Launchpad makes Kyoto a scheduled stop. A seminar at the diabetes department is a natural programme element",uncontacted,"Professor Yabe took up his post recently. Confirm interest in digital health and citizen science before proposing a full collaboration"
jp-kpum-longevity,Kyoto Prefectural University of Medicine - Longevity and Community Epidemiology,organization,JP,research,ja/en,https://www.nature.com/nature-index/institution-outputs/japan/kyoto-prefectural-university-of-medicine-kpum/513906bb34d6b65e6a0001b5,,B,"Runs the Kyotango Longevity Cohort Study and co-organised the 1st World Longevity Summit with affiliates including University of Osaka and Altos Labs. Kyotango is one of Japan's famous longevity zones","Research contact: the longevity angle - glucose regulation as a biomarker of healthy aging. Propose using Sugar-Sugar in a longevity cohort as a quick functional assessment","The longevity connection is Anton's wider research context (enhancement.bio) and could open a second use case for the prediction task",uncontacted,"This is a stretch for direct Sugar-Sugar promotion but fits the DWIH partnership-building objective. Requires framing glucose prediction as a functional aging biomarker"
jp-amed,Japan Agency for Medical Research and Development (AMED),organization,JP,funding,ja/en,https://www.amed.go.jp/en/,,"B","National funding agency for medical R&D. Runs AMED-CREST for advanced medical innovation and SICORP for strategic international collaborative research. Active joint calls with EU partners","Explore upcoming SICORP or bilateral Germany-Japan calls. AMED's international collaboration department can advise on eligible mechanisms for a joint German-Japanese digital health study","DWIH Tokyo lists AMED as a network partner. A funded collaboration is the highest-value outcome of the Launchpad trip",uncontacted,"AMED targets several European countries as collaborative partner countries. Check www.amed.go.jp/en/news/proposals.html for current open calls before the November trip"
