entity_id,name,type,url,country,category,relevance,why_relevant,suggested_ask,status,notes
beyond-type1,Beyond Type 1,company-page,https://www.linkedin.com/company/beyond-type1/,US,advocacy,A,Named in diabetes-orgs-catalogue as a direct-fit community. Runs the largest English-language T1D media and app ecosystem,Ask their editorial team to cover the human-baseline question; offer Livia for a first-person piece,uncontacted,Cross-referenced with diabetes-orgs-catalogue.csv. Verified on LinkedIn 2026-08-27
diatribenews,The diaTribe Foundation,company-page,https://www.linkedin.com/company/diatribenews/,US,media,A,Diabetes journalism with a research-literate readership; already a direct-fit org in diabetes-orgs-catalogue,Pitch a short explainer on why no published human baseline for CGM prediction exists,uncontacted,Verified on LinkedIn 2026-08-27
thediabeteslink,The Diabetes Link,company-page,https://www.linkedin.com/company/thediabeteslink/,US,advocacy,A,"Serves young adults with diabetes at university age - the study recruits adults 18+, and this is the cleanest 18-25 channel found",Ask about a campus-chapter share of the study; they have an existing student network,uncontacted,Verified on LinkedIn 2026-08-27
diabetes-technology-society-1,Diabetes Technology Society (DTS),company-page,https://www.linkedin.com/company/diabetes-technology-society-1/,US,professional,A,Runs the standards and meetings where CGM accuracy and algorithms are argued about. Benchmark credibility lives here,Ask about an abstract or poster slot; ATTD/DTS-style venues suit a human-baseline result,uncontacted,Verified on LinkedIn 2026-08-27. Note there is an older duplicate page slug diabetes-technology-society-old
dcberne,Diabetes Center Berne,company-page,https://www.linkedin.com/company/dcberne/,CH,research,A,Swiss diabetes-technology research centre that funds and hosts digital-diabetes projects; EU-adjacent and reachable from Rostock,Ask about a research collaboration or their innovation programme,uncontacted,Verified on LinkedIn 2026-08-27
glooko,Glooko,company-page,https://www.linkedin.com/company/glooko/,US,industry,A,CGM and pump data-platform company. Their whole product is the data Sugar-Sugar plays back,"Data-partnership or co-marketing conversation, not a recruitment post",uncontacted,Verified on LinkedIn 2026-08-27
eucitsci,ECSA - European Citizen Science Association,company-page,https://www.linkedin.com/company/eucitsci/,EU,research,A,"Sugar-Sugar is a citizen-science study with ethics approval and open code - exactly what ECSA amplifies, and it is European",Ask to be listed in their project directory and newsletter,uncontacted,Verified on LinkedIn 2026-08-27. Strongest non-diabetes fit found
aace,American Association of Clinical Endocrinology (AACE),company-page,https://www.linkedin.com/company/aace/,US,professional,B,Clinician body. Reaches the endocrinologists who would have to trust a prediction model,Protocol-and-ethics framing; conference or newsletter mention,uncontacted,Verified on LinkedIn 2026-08-27
diabetesliitto,Diabetesliitto (Finnish Diabetes Association),company-page,https://www.linkedin.com/company/diabetesliitto/,FI,advocacy,B,National association with a Nordic member base; European recruitment reach outside DE/RO/UA,Ask about a member-newsletter mention of the study,uncontacted,Verified on LinkedIn 2026-08-27
bigfoot-biomedical-inc-,Bigfoot Biomedical,company-page,https://www.linkedin.com/company/bigfoot-biomedical-inc-/,US,industry,B,Automated insulin dosing built on CGM data; their engineers are the audience for a forecasting benchmark,"Engineering-audience share, not a partnership ask",uncontacted,Verified on LinkedIn 2026-08-27
diabetes-technology-research-group,Diabetes Technology Research Group,company-page,https://www.linkedin.com/company/diabetes-technology-research-group/,,research,B,Research-group page in the CGM technology space,Read their recent posts before deciding the ask - page scope not yet confirmed,uncontacted,Verified slug 2026-08-27; page details not yet read
serpentineventures,Serpentine Ventures,company-page,https://www.linkedin.com/company/serpentineventures/,CH,funding,B,Describes itself as the first venture fund dedicated to diabetes technology,"Funding-track contact for GlucoseDAO, not a promotion channel",uncontacted,"Verified on LinkedIn 2026-08-27, ~2K followers"
type-1-diabetes-defense-foundation,Type 1 Diabetes Defense Foundation,company-page,https://www.linkedin.com/company/type-1-diabetes-defense-foundation/,US,advocacy,C,Smaller T1D non-profit,Newsletter or social share ask,uncontacted,Verified slug 2026-08-27; size not read
diabetes-educators-society,Diabetes Educators Society,company-page,https://www.linkedin.com/company/diabetes-educators-society/,,professional,C,Diabetes education body; overlaps the ADCES LinkedIn group already catalogued,Educator-audience framing,uncontacted,Verified slug 2026-08-27; size not read
flora-salim-6958986,Flora Salim,person,https://www.linkedin.com/in/flora-salim-6958986/,AU,research,A,"Professor at UNSW leading the CRUISE group behind CGM-JEPA/X-CGM-JEPA - the encoder our best hybrid depends on. Headline: AI/ML, ubiquitous computing, multimodal learning",Research contact and possible co-applicant on an international grant. Attribute CGM-JEPA correctly in anything sent,uncontacted,"Profile verified by LinkedIn people search 2026-08-27. Upstream collaborator, NOT a promotion target - treat as a partnership contact"
