mfr_id,name,country,tier,market_share,products,reachability,contact_emails,website,portals,why_relevant,suggested_ask,phase,status,notes
abbott,Abbott Diabetes Care,USA / Global,1,52.83% (Mordor 2025 shipments),"FreeStyle Libre 2, Libre 3, Libre 3 Plus, Lingo (enzymatic, 14-15 day wear)",Moderate to Hard,adc_iis@abbott.com (Investigator-Initiated Studies); abbottcorporate@abbott.com; karen.twiggmay@abbott.com (media); ADChelpuk@abbott.com (UK support),https://www.freestyle.abbott,medicalaffairs.abbott/grants.html (IIS portal); freestyle.abbott,"Global market leader, and Sugar-Sugar already ingests the Libre export format. Standard support channels are automated and filtered - the IIS route is the only viable academic path.","Submit an Investigator-Initiated Study proposal to adc_iis@abbott.com framed as measuring how Libre users interpret rate-of-change trend arrows. Non-financial support (sensors, anonymised data) is reviewed continuously; financial grants close 15 September annually.",2 (weeks 4-12),uncontacted,"Needs a Declaration of Eligibility, a structured Study Proposal Form and an investigator CV. Sugar-Sugar ALREADY supports the Libre format, so lead with participant recruitment and export validation, not ""please integrate your CGM"". NEVER approach Abbott, Dexcom and Medtronic as one consortium - Abbott manufactures the Instinct CGM for MiniMed while competing with Medtronic in standalone CGM."
dexcom,"Dexcom, Inc.",USA / Global,1,33.89% (Mordor 2025 shipments),"Dexcom G6, G7, ONE/ONE+, Stelo (enzymatic, 10-15.5 day wear)",Moderate,clinicalresearch@dexcom.com (clinical research); mediarelations@dexcom.com; investor-relations@dexcom.com,https://developer.dexcom.com,developer.dexcom.com (self-service sandbox); dexcom.com,"The easiest technical path of the big three: developer.dexcom.com grants instant sandbox credentials with no corporate pre-approval. Dexcom enforces a retrospective delay on glucose values (1h US, 3h international) to stop real-time third-party dosing - Sugar-Sugar evaluates retrospective traces, so it sits inside that framework rather than against it.",Register an academic developer org for sandbox credentials and build the Dexcom parser; in parallel email clinicalresearch@dexcom.com citing the Rostock ethics clearance.,1 (weeks 1-4),uncontacted,"Three tiers: sandbox, self-service Limited Access (5 production users), Full Access requiring a partnership questionnaire and data licensing agreement. Already a supported format in Sugar-Sugar - lead with recruitment and export validation. Dexcom 2025 reporting continued to identify Abbott-related patent litigation, so keep the invitation strictly bilateral."
medtronic,Medtronic Diabetes,USA / Ireland,1,10.10% (Mordor 2025 shipments),"Guardian Sensor 3/4, Simplera, MiniMed 780G AID (enzymatic, 7-day wear)",Hard,"shannon.bondy@medtronic.com, thomas.troub@medtronic.com (clinical leads); investor.relations@medtronic.com; minimedcan.info@medtronic.com",https://www.medtronicdiabetes.com,medtronicdiabetes.com; ISR intake via practice management,"The most centralised of the three. Integrations are restricted to formal corporate alliances or regulated trials, so this is a long game.",Investigator-Sponsored Research proposal positioning Sugar-Sugar as a behavioural benchmark: human forecasting error against the MiniMed 780G predictive Auto-Basal algorithm. Ask ONLY for the CGM trace and data-export layer unless pump/AID data become methodologically necessary.,3 (months 3-6),uncontacted,Already a supported format. Keep the invitation bilateral and identical in terms to the Abbott and Dexcom ones.
roche,Roche Diabetes Care,Switzerland / Germany,2,1.0-2.0%,"Accu-Chek SmartGuide, mySugr ecosystem (enzymatic, 14-day wear)",Moderate to Hard,media.relations@roche.com; justine.grosvenor@roche.com; bruno.eschli@roche.com (diagnostics management); sabine.borngraeber@roche.com,https://www.accu-chek.com,roche.com; accu-chek.com,The sharpest strategic fit of any manufacturer. Their SmartGuide Predict app (built with IBM) forecasts glucose trends with ML - which is precisely the thing Sugar-Sugar establishes a human baseline for.,"Exploratory digital-health approach through media and innovation channels. Pitch the synergy with SmartGuide Predict, but state explicitly that Sugar-Sugar measures HUMAN prediction and is not evaluating or benchmarking their proprietary algorithm - the second report is emphatic that these must be separated in writing.",2 (weeks 4-12),uncontacted,Roche also has a Romanian arm (accu-chek.ro) worth pairing with the Romanian outreach.
senseonics,Senseonics Holdings,USA,2,1.0-2.0%,"Eversense E3, Eversense 365 (implantable optical fluorescence, 180-365 day wear)",Easy to Moderate,Tim.Stamper@senseonics.com (media/comms); investors@senseonics.com; Eversense365@FTIConsulting.com (IR agency),https://global.eversensediabetes.com/contact-us/,global.eversensediabetes.com/contact-us/,Fully implantable long-wear sensors. They actively support real-world evidence studies that show off longitudinal data stability - a 180-365 day trace is a different prediction problem from a 14-day one.,Contact Senseonics DIRECTLY. Do not route through Ascensia.,2 (weeks 4-12),uncontacted,"CORRECTION from the second report: Ascensia is no longer the gatekeeper. Ascensia historically commercialised Eversense but those functions transitioned back to Senseonics in January 2026. The first report still described them as ""partnered with Ascensia"" - that is out of date."
sibionics,Sibionics (Shenzhen Silicon-based Intelligent Tech),China / Global,3,1.0-3.0%,"SIBIONICS GS1, SiJoy, CKM (enzymatic, 14-day factory calibrated)",Very Easy,medicalaffairs.agpndtx@gmail.com (Research Fund); zy.zhang@sibionics.com (named contact); support@sibionics.com,https://www.sibionicscgm.com/pages/research-fund,sibionicscgm.com/pages/research-fund,"The single most accessible manufacturer in this file, and the only one running a standing Research Fund that explicitly invites bioengineers, clinical researchers and AI scientists to apply for in-kind sensor grants. The fund is scoped at CGM data plus digital health platforms and AI predictive algorithms - which is Sugar-Sugar described back to us.","Apply to the Research Fund with a structured abstract requesting in-kind GS1 sensors, to compare human forecasting accuracy against their embedded AI predictive engine. Reviewed by a three-person expert panel.",1 (weeks 1-4),uncontacted,"The two reports disagree on sequencing: the first puts Sibionics in the very first wave because of the open Research Fund and free hardware; the second puts it in the second wave, ranking by reach instead. Both are defensible - the fund is the cheapest possible first move, so it costs little to do both."
sinocare,Sinocare Inc.,China / Global,3,1.0-2.0%,"iCan i3, iCan i6 (enzymatic, 15-day wear)",Easy,intl_mkt@sinocare.com (overseas business); iCansupport@sinocare.com; support@icancgm.com,https://www.icancgm.com,icancgm.com; sinocare.com/en/,Large public diagnostics manufacturer scaling the iCan CGM internationally and responsive to outside developers.,"Open a channel on standardised CSV and API data ingest for iCan devices, so Sugar-Sugar can read their exports.",2 (weeks 4-12),uncontacted,"Named in the second report as a FIRST-wave target, on the strength of direct international email access plus fast-expanding clinical and regulatory activity. Coordinate European recruitment with A. Menarini Diagnostics, which holds exclusive reimbursed-market rights in parts of Europe."
i-sens,"i-SENS, Inc.",South Korea / Global,3,~1.0%,"CareSens Air (enzymatic, 15-day wear, factory calibrated)",Easy,"skoh@i-sens.com, jlee@i-sens.com (Business Innovation); inquiry@i-sens.com; europe@i-sens.com",https://www.caresensair.com,caresensair.com; i-sens.com,"Korean market leader expanding across Europe, with published direct executive contacts for the team that owns CareSens Air API interoperability.",Contact Business Innovation directly about CareSens Air data ingest into Sugar-Sugar.,2 (weeks 4-12),uncontacted,Named executive emails are published - unusually open for a manufacturer.
medtrum,Medtrum Technologies,China / UK / Europe,3,~0.5-1.0%,"TouchCare Nano CGM, TouchCare patch pump (enzymatic, 14-day wear)",Easy to Moderate,info.uk@medtrum.co.uk; info.germany@medtrum.com; info.france@medtrum.fr; info@medtrum.nl; info.denmark@medtrum.com; kundsupport@medtrum.se; info@medtrum.com.hk; info@medtrum.com,https://www.medtrum.com,medtrum.com; medtrum.redycare.ch,"Explicitly collaborative toward the open-source diabetes data community, including Nightscout and AndroidAPS integrations - the same crowd as the Telegram and Facebook loop rooms already in this registry.","Work with the UK/Germany offices on a parser for TouchCare and EasyPatch cloud exports, alongside the open-source community.",3 (months 3-6),uncontacted,Decentralised European subsidiaries mean a national office answers faster than head office - the second report lists eight affiliate mailboxes.
microtech,MicroTech Medical,China / Global,3,~0.5-1.0%,"AiDEX, LinX CGM, LinX M1/S1 (enzymatic, 14-day wear)",Easy,sales@microtechmd.com; cs@microtechmd.com; ir@microtechmd.com,https://www.aidexcgm.com,microtechmd.com; aidexcgm.com,"Publishes public API documentation for AiDEX, which makes a parser cheap to build.",Request API access and sample traces for AiDEX.,3 (months 3-6),uncontacted,"A LinX CGM user group already exists on Facebook and is in the Facebook catalogue. GlucoRx AiDEX is a RETAIL REBRAND of the MicroTech platform, not a separate manufacturer - do not double-count it."
